ínì_,ì˙,éû,é¸ä˙(s),îgçÇ(m),îgå¸(16ï˚à )
F,29,12, 7,  1.4,11
F,30,00, 7,  1.2,11
F,30,12, 7,  1.3,11
F,31,00, 7,  1.1,10
F,31,12, 8,  1.1,10
G, 1,00, 5,  0.9, 8
G, 1,12,10,  0.8, 7
G, 2,00, 9,  0.8, 7
G, 2,12, 9,  0.6, 7
G, 3,00, 9,  0.7, 7
G, 3,12, 9,  0.6, 7
G, 4,00, 9,  0.7, 7
G, 4,12, 9,  1.5, 6
G, 5,00, 9,  1.8, 6
G, 5,12,10,  2.5, 8
G, 6,00, 9,  1.6, 9
G, 6,12, 9,  1.3, 9
G, 7,00, 9,  1.5, 9
G, 7,12,11,  1.6, 9
G, 8,00,11,  1.8, 9
G, 8,12,11,  2.4, 9
G, 9,00,13,  2.7, 9
G, 9,12,13,  2.6, 9
G,10,00,15,  2.7, 9
G,10,12,13,  2.6, 9
G,11,00,12,  2.7, 9
G,11,12,12,  2.6, 9
G,12,00,12,  2.7, 8
G,12,12,13,  2.9, 8
G,13,00,13,  2.9, 8
G,13,12,12,  3.6, 8
G,14,00,11,  2.9, 9
G,14,12,11,  3.7, 9
G,15,00,12,  4.5, 9
G,15,12,12,  4.5,10
G,16,00, 9,  4.1,10
G,16,12, 9,  3.0,10
G,17,00, 9,  2.0,10
G,17,12, 9,  1.7,10
G,18,00, 9,  1.2,10
G,18,12, 9,  1.0, 9
G,19,00, 9,  0.8, 9
G,19,12, 9,  0.9, 9
G,20,00, 9,  0.9, 9
G,20,12, 9,  1.0,10
G,21,00, 9,  0.9,10
G,21,12, 7,  1.0,10
G,22,00, 6,  1.2,11
G,22,12, 6,  1.4,11
G,23,00, 7,  2.1,12
G,23,12, 8,  1.7,11
G,24,00, 7,  1.5,11
G,24,12, 7,  2.1,12
G,25,00, 7,  1.8,11
G,25,12,12,  2.0,10
G,26,00,11,  1.6,10
G,26,12,11,  1.4,10
G,27,00,10,  1.1,10
G,27,12, 9,  1.0,10
G,28,00, 7,  2.2,11
G,28,12, 8,  2.5,12
G,29,00, 7,  2.4,12
G,29,12, 7,  1.8,12
G,30,00, 6,  1.5,11
G,30,12, 7,  1.9,11
G,31,00, 8,  1.6,11
G,31,12, 8,  1.2,11
H, 1,00, 9,  0.9, 7
H, 1,12, 9,  0.8, 6
H, 2,00, 9,  1.0, 7
H, 2,12, 9,  0.8, 7
H, 3,00, 9,  0.8, 7
H, 3,12, 9,  0.7, 6
H, 4,00, 9,  0.9, 7
H, 4,12, 9,  1.5, 6
H, 5,00, 7,  2.0, 5
H, 5,12,11,  3.2, 8
H, 6,00, 9,  2.0, 8
H, 6,12, 9,  1.6, 9
H, 7,00,11,  1.6, 8
H, 7,12,10,  1.7, 8
H, 8,00,11,  2.1, 8
H, 8,12,11,  2.6, 8
H, 9,00,12,  3.0, 9
H, 9,12,13,  3.0, 9
H,10,00,13,  3.0, 9
H,10,12,13,  2.7, 9
H,11,00,12,  2.8, 8
H,11,12,12,  2.9, 8
H,12,00,12,  3.1, 8
H,12,12,13,  3.4, 8
H,13,00,12,  3.4, 8
H,13,12,11,  4.2, 8
H,14,00,11,  3.4, 8
H,14,12,11,  4.6, 8
H,15,00,13,  5.7, 9
H,15,12,11,  5.6, 9
H,16,00,10,  4.4,10
H,16,12, 9,  2.9, 9
H,17,00, 9,  1.8, 9
H,17,12, 9,  1.5, 9
H,18,00, 9,  1.1, 9
H,18,12, 9,  0.9, 9
H,19,00, 9,  0.8, 9
H,19,12, 9,  0.9, 9
H,20,00, 9,  1.0, 9
H,20,12, 9,  0.9, 9
H,21,00, 8,  0.8, 9
H,21,12, 6,  0.9, 9
H,22,00, 6,  0.7,10
H,22,12, 6,  1.3,10
H,23,00, 7,  1.6,11
H,23,12, 7,  1.0,11
H,24,00, 7,  1.0,10
H,24,12, 7,  1.3,11
H,25,00,12,  1.6,10
H,25,12,12,  1.7,10
H,26,00,11,  1.5,10
H,26,12,10,  1.5,10
H,27,00,10,  1.1,10
H,27,12, 9,  1.0, 9
H,28,00, 7,  2.2,11
H,28,12, 7,  1.7,11
H,29,00, 7,  1.8,10
H,29,12, 7,  1.5,11
H,30,00, 6,  1.6,10
H,30,12, 7,  1.6,10
H,31,00, 8,  1.2,10
H,31,12, 8,  0.9,10
I, 1,00, 9,  0.7, 7
I, 1,12, 8,  0.6, 7
I, 2,00, 9,  0.8, 7
I, 2,12, 8,  0.7, 7
I, 3,00, 7,  0.8, 7
I, 3,12, 7,  0.8, 7
I, 4,00, 8,  0.8, 7
I, 4,12, 9,  1.2, 7
I, 5,00, 7,  1.2, 6
I, 5,12,11,  3.9, 7
I, 6,00,10,  3.0, 8
I, 6,12, 9,  2.2, 9
I, 7,00, 9,  1.7, 8
I, 7,12,10,  1.8, 8
I, 8,00,10,  2.3, 8
I, 8,12,12,  2.8, 8
I, 9,00,13,  2.9, 8
I, 9,12,13,  3.2, 9
I,10,00,13,  2.9, 9
I,10,12,12,  2.5, 8
I,11,00,12,  2.7, 8
I,11,12,12,  2.7, 8
I,12,00,12,  2.6, 8
I,12,12,13,  3.0, 7
I,13,00,13,  3.3, 7
I,13,12,13,  4.0, 7
I,14,00,12,  3.5, 7
I,14,12,12,  5.7, 8
I,15,00,13,  8.2, 8
I,15,12,11,  5.4, 9
I,16,00,10,  3.5, 9
I,16,12, 9,  2.2, 9
I,17,00, 9,  1.5, 9
I,17,12, 9,  1.1, 9
I,18,00, 9,  0.9, 9
I,18,12, 9,  0.9, 9
I,19,00, 9,  0.7, 9
I,19,12, 9,  1.2, 9
I,20,00, 9,  1.0, 9
I,20,12, 8,  0.9,10
I,21,00, 7,  0.8,10
I,21,12, 7,  0.9,10
I,22,00, 7,  0.8,10
I,22,12, 5,  1.2,10
I,23,00, 7,  1.2,10
I,23,12, 7,  0.9,11
I,24,00, 7,  0.9,10
I,24,12, 9,  1.0, 9
I,25,00,12,  1.6, 9
I,25,12,11,  1.5, 9
I,26,00,11,  1.5,10
I,26,12,10,  1.4,10
I,27,00,10,  1.0, 9
I,27,12, 9,  1.2, 9
I,28,00, 7,  1.7,10
I,28,12, 7,  1.6,10
I,29,00, 7,  1.6,10
I,29,12, 7,  1.3,10
I,30,00, 6,  1.4,10
I,30,12, 7,  1.4,10
I,31,00, 8,  1.1, 9
I,31,12, 9,  0.8, 9
J, 1,00, 9,  0.9, 6
J, 1,12, 9,  0.7, 6
J, 2,00, 9,  1.0, 6
J, 2,12, 9,  1.0, 6
J, 3,00, 8,  1.1, 6
J, 3,12, 8,  1.1, 7
J, 4,00, 9,  1.0, 6
J, 4,12, 9,  1.4, 6
J, 5,00, 9,  1.5, 5
J, 5,12,12,  5.0, 6
J, 6,00,10,  4.3, 7
J, 6,12, 9,  2.4, 7
J, 7,00, 9,  1.8, 7
J, 7,12,10,  2.0, 7
J, 8,00,10,  2.5, 8
J, 8,12,11,  3.0, 8
J, 9,00,13,  3.0, 8
J, 9,12,13,  3.2, 8
J,10,00,12,  2.9, 8
J,10,12,11,  2.6, 8
J,11,00,12,  2.9, 7
J,11,12,12,  2.8, 7
J,12,00,12,  2.8, 7
J,12,12,13,  3.4, 7
J,13,00,13,  3.6, 7
J,13,12,13,  4.3, 7
J,14,00,12,  4.5, 6
J,14,12,12,  6.6, 6
J,15,00,13,  8.9, 7
J,15,12,11,  4.8, 9
J,16,00,10,  2.6, 9
J,16,12, 9,  1.8, 9
J,17,00, 9,  1.3, 8
J,17,12, 9,  1.0, 8
J,18,00, 9,  0.8, 8
J,18,12, 9,  0.8, 8
J,19,00, 9,  0.7, 8
J,19,12, 8,  1.1, 8
J,20,00, 9,  1.0, 9
J,20,12, 8,  0.9, 8
J,21,00, 7,  0.9, 9
J,21,12, 7,  0.9, 9
J,22,00, 6,  0.8, 9
J,22,12, 6,  1.1, 9
J,23,00, 7,  1.0,10
J,23,12, 6,  0.7,10
J,24,00, 6,  0.8,10
J,24,12, 9,  1.1, 9
J,25,00,12,  1.6, 9
J,25,12,11,  1.5, 9
J,26,00,11,  1.5, 9
J,26,12,10,  1.2, 9
J,27,00, 9,  0.9, 9
J,27,12, 9,  1.1, 9
J,28,00, 7,  1.7,10
J,28,12, 7,  1.4,10
J,29,00, 6,  1.2,10
J,29,12, 6,  1.2, 9
J,30,00, 6,  1.2, 9
J,30,12, 7,  1.2, 9
J,31,00, 8,  1.0, 9
J,31,12, 9,  0.8, 9
K, 1,00, 9,  0.6, 7
K, 1,12, 8,  0.5, 7
K, 2,00, 7,  0.7, 7
K, 2,12, 9,  0.8, 7
K, 3,00, 8,  0.9, 7
K, 3,12, 8,  0.9, 7
K, 4,00, 7,  0.8, 7
K, 4,12, 7,  0.9, 7
K, 5,00, 8,  0.9, 7
K, 5,12,12,  2.5, 6
K, 6,00,10,  4.9, 8
K, 6,12, 7,  2.2, 8
K, 7,00, 9,  1.4, 8
K, 7,12,10,  1.6, 8
K, 8,00,10,  2.3, 8
K, 8,12,12,  2.6, 8
K, 9,00,13,  2.5, 8
K, 9,12,13,  2.7, 8
K,10,00,12,  2.5, 8
K,10,12,11,  2.1, 8
K,11,00,12,  2.3, 8
K,11,12,12,  1.9, 8
K,12,00,13,  1.9, 7
K,12,12,13,  2.5, 7
K,13,00,13,  2.6, 7
K,13,12,13,  3.0, 7
K,14,00,12,  2.8, 7
K,14,12,12,  4.2, 7
K,15,00,13,  4.0, 7
K,15,12,11,  2.7, 9
K,16,00, 9,  1.8, 9
K,16,12, 9,  1.4, 9
K,17,00, 9,  1.0, 8
K,17,12, 9,  0.9, 8
K,18,00, 9,  0.7, 9
K,18,12, 9,  0.7, 9
K,19,00, 8,  0.6, 8
K,19,12, 7,  0.9, 9
K,20,00, 9,  1.1, 9
K,20,12, 6,  1.0, 9
K,21,00, 7,  0.9, 9
K,21,12, 6,  0.9, 9
K,22,00, 5,  0.7, 9
K,22,12, 6,  1.2, 9
K,23,00, 6,  0.6, 9
K,23,12, 6,  0.5, 9
K,24,00, 7,  0.8, 9
K,24,12, 9,  1.2, 9
K,25,00,12,  1.6, 9
K,25,12,11,  1.4, 9
K,26,00,10,  1.3, 9
K,26,12,10,  1.0, 9
K,27,00, 9,  0.9, 9
K,27,12, 6,  1.2, 9
K,28,00, 6,  1.4, 9
K,28,12, 6,  1.0, 9
K,29,00, 5,  0.9, 9
K,29,12, 6,  1.1, 9
K,30,00, 8,  1.1, 9
K,30,12, 7,  1.1, 9
K,31,00, 9,  0.9, 9
K,31,12, 9,  0.7, 9
L, 1,00, 9,  1.2, 6
L, 1,12, 9,  1.0, 6
L, 2,00, 9,  1.5, 5
L, 2,12, 7,  1.7, 6
L, 3,00, 8,  1.9, 6
L, 3,12, 8,  1.7, 6
L, 4,00, 8,  1.5, 6
L, 4,12, 8,  1.5, 6
L, 5,00, 9,  1.7, 5
L, 5,12, 9,  3.7, 3
L, 6,00,11,  3.0, 4
L, 6,12,10,  2.0, 6
L, 7,00,10,  2.1, 7
L, 7,12,10,  2.8, 7
L, 8,00,10,  3.5, 7
L, 8,12,11,  3.9, 7
L, 9,00,13,  3.9, 8
L, 9,12,13,  4.1, 7
L,10,00,12,  3.9, 7
L,10,12,11,  3.6, 7
L,11,00,12,  3.5, 7
L,11,12,11,  3.0, 7
L,12,00,12,  3.0, 6
L,12,12,15,  3.9, 6
L,13,00,13,  4.4, 5
L,13,12,10,  4.9, 5
L,14,00,12,  6.0, 4
L,14,12,12,  6.9, 4
L,15,00,11,  3.9, 6
L,15,12, 9,  2.5, 9
L,16,00, 9,  1.5, 9
L,16,12, 9,  1.2, 9
L,17,00, 9,  1.1, 8
L,17,12, 9,  1.1, 8
L,18,00, 9,  1.0, 8
L,18,12, 9,  1.1, 8
L,19,00, 9,  1.1, 8
L,19,12, 8,  1.5, 8
L,20,00, 7,  1.8, 9
L,20,12, 7,  1.2, 9
L,21,00, 6,  1.1, 9
L,21,12, 6,  0.8, 8
L,22,00, 6,  0.9, 8
L,22,12, 6,  1.0, 8
L,23,00, 6,  1.0, 9
L,23,12, 7,  1.1, 9
L,24,00, 8,  1.3, 9
L,24,12,12,  1.9, 9
L,25,00,11,  1.9, 9
L,25,12,11,  1.8, 9
L,26,00,10,  1.6, 9
L,26,12, 9,  1.2, 9
L,27,00, 9,  1.2, 8
L,27,12, 8,  1.1, 8
L,28,00, 5,  1.1, 9
L,28,12, 7,  1.1, 8
L,29,00, 8,  1.2, 8
L,29,12, 8,  1.3, 8
L,30,00, 6,  1.6, 9
L,30,12, 9,  1.2, 9
L,31,00, 8,  1.1, 9
L,31,12, 8,  0.9, 9
M, 1,00, 9,  1.5, 5
M, 1,12, 6,  1.5, 5
M, 2,00, 7,  1.9, 5
M, 2,12, 8,  2.3, 5
M, 3,00, 7,  2.0, 6
M, 3,12, 7,  2.2, 6
M, 4,00, 9,  1.9, 5
M, 4,12, 9,  1.7, 5
M, 5,00, 9,  1.5, 5
M, 5,12, 9,  1.3, 5
M, 6,00,11,  2.1, 4
M, 6,12,10,  1.9, 6
M, 7,00,10,  2.6, 7
M, 7,12, 9,  3.8, 7
M, 8,00, 9,  4.4, 7
M, 8,12,12,  4.3, 8
M, 9,00,13,  4.8, 8
M, 9,12,12,  5.2, 7
M,10,00,11,  4.6, 7
M,10,12,12,  4.1, 8
M,11,00,11,  3.8, 8
M,11,12,11,  3.0, 6
M,12,00,13,  2.7, 6
M,12,12,15,  3.4, 5
M,13,00,13,  2.8, 5
M,13,12,12,  2.9, 4
M,14,00,11,  3.3, 3
M,14,12,12,  3.5, 2
M,15,00,11,  2.5, 2
M,15,12, 9,  1.7, 9
M,16,00, 9,  1.1, 9
M,16,12, 9,  1.1, 9
M,17,00, 9,  1.2, 9
M,17,12, 9,  1.2, 9
M,18,00, 9,  1.2, 9
M,18,12, 9,  1.1, 9
M,19,00, 8,  1.2, 8
M,19,12, 7,  1.6, 8
M,20,00, 7,  1.8, 9
M,20,12, 6,  1.3, 8
M,21,00, 7,  1.2, 7
M,21,12, 6,  1.0, 7
M,22,00, 7,  1.0, 7
M,22,12, 7,  1.1, 7
M,23,00, 8,  1.2, 7
M,23,12, 8,  1.5, 8
M,24,00,11,  2.3, 9
M,24,12,11,  2.4, 9
M,25,00,11,  2.1, 9
M,25,12,10,  2.0, 9
M,26,00,10,  1.6, 9
M,26,12, 9,  1.1, 7
M,27,00, 8,  1.2, 7
M,27,12, 7,  1.1, 7
M,28,00, 8,  1.1, 7
M,28,12, 8,  1.1, 7
M,29,00, 9,  1.3, 7
M,29,12, 9,  1.5, 8
M,30,00, 9,  1.5, 8
M,30,12, 9,  1.2, 8
M,31,00, 8,  1.3, 8
M,31,12, 8,  1.1, 8
N, 1,00, 9,  1.5, 5
N, 1,12, 8,  1.5, 5
N, 2,00, 7,  2.2, 5
N, 2,12, 9,  2.2, 5
N, 3,00, 9,  1.8, 5
